172.64.82.114 #🇨🇦加拿大01
198.41.194.162 #🇨🇦加拿大02
198.41.208.15 #🇨🇦加拿大03
162.159.140.85 #🇨🇦加拿大04
172.64.52.127 #🇨🇦加拿大05
162.159.61.183 #🇨🇦加拿大06
172.64.91.69 #🇨🇦加拿大07
172.64.48.226 #🇨🇦加拿大08
162.159.24.131 #🇨🇦加拿大09
173.245.49.194 #🇨🇦加拿大10
104.26.4.90 #🇺🇸美国01
162.159.136.89 #🇨🇦加拿大11
162.159.58.65 #🇨🇦加拿大12
172.64.229.7 #🇨🇦加拿大13
104.26.5.134 #🇺🇸美国02
162.159.137.204 #🇨🇦加拿大14
162.159.128.253 #🇨🇦加拿大15
104.26.3.162 #🇺🇸美国03
104.26.8.117 #🇺🇸美国04
162.159.140.116 #🇨🇦加拿大16
104.18.81.19 #🇺🇸美国05
104.18.89.52 #🇺🇸美国06
104.18.166.129 #🇺🇸美国07
198.41.208.224 #🇨🇦加拿大17
104.19.148.121 #🇺🇸美国08
104.17.162.3 #🇺🇸美国09
104.18.151.172 #🇺🇸美国10
104.17.139.37 #🇺🇸美国11
104.19.220.22 #🇺🇸美国12
104.19.154.200 #🇺🇸美国13
104.18.255.167 #🇺🇸美国14
104.19.212.207 #🇺🇸美国15
104.17.69.244 #🇺🇸美国16
104.31.16.158 #🇺🇸美国17
104.17.167.134 #🇺🇸美国18
104.18.223.253 #🇺🇸美国19
104.16.105.166 #🇺🇸美国20
104.17.142.212 #🇺🇸美国21
104.18.189.153 #🇺🇸美国22
104.16.65.1 #🇺🇸美国23
108.162.198.44 #🇺🇸美国24
162.159.39.27 #🇺🇸美国25
162.159.45.227 #🇺🇸美国26
162.159.44.242 #🇺🇸美国27
162.159.38.119 #🇺🇸美国28
104.18.34.68 #🇺🇸美国29
172.64.152.140 #🇨🇦加拿大18
